customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,churn_probability,predicted_churn,risk_category,cluster,segment_name,pca_1,pca_2,strategic_group,value_at_risk,actionable_value_at_risk,priority_percentile,retention_priority,retention_rank
8972-HJWNV,1,United States,California,Huron,93234,"36.217864, -120.080117",36.217864,-120.080117,Female,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,646.85,Yes,1,80,5245,Competitor made better offer,0.8275104436638555,1,High,2,New High-Risk,-2.845907095382151,-1.772084381747185,High Risk,4340.2922770169225,4340.2922770169225,0.9933267073690188,Critical,48
3389-YGYAI,1,United States,California,Princeton,95970,"39.424957, -122.039307",39.424957,-122.039307,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,829.55,Yes,1,72,5546,Price too high,0.7801227941479507,1,High,2,New High-Risk,-3.0491682200770773,-0.1264051459890725,High Risk,4326.561016344534,4326.561016344534,0.9931847224194236,Critical,49
6894-LFHLY,1,United States,California,Vidal,92280,"34.264124, -114.717964",34.264124,-114.717964,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,75.75,Yes,1,97,5571,Competitor offered higher download speeds,0.7761185213689054,1,High,2,New High-Risk,-2.672407317807353,-3.504720134510134,High Risk,4323.756282546172,4323.756282546172,0.9930427374698282,Critical,50
8161-QYMTT,1,United States,California,Santa Maria,93454,"34.943523, -120.256729",34.943523,-120.256729,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,No,0,22,5259,Attitude of support person,0.8207782989761842,1,High,2,New High-Risk,-2.56229785091989,-1.6898079996895068,High Risk,4316.4730743157525,4316.4730743157525,0.9929007525202329,Critical,51
4145-UQXUQ,1,United States,California,Berkeley,94710,"37.872902, -122.303708",37.872902,-122.303708,Female,Yes,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,Yes,1,81,5662,Competitor offered more data,0.760334165005636,1,High,2,New High-Risk,-2.54713634616959,-1.487983069955688,High Risk,4305.012042261911,4305.012042261911,0.9927587675706375,Critical,52
2660-EMUBI,1,United States,California,Fort Jones,96032,"41.5837, -122.935922",41.5837,-122.935922,Male,Yes,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,Yes,1,75,5353,Attitude of support person,0.8041464876719441,1,High,2,New High-Risk,-3.01661732361454,-1.7177568023547132,High Risk,4304.596148507917,4304.596148507917,0.9926167826210421,Critical,53
1184-PJVDB,1,United States,California,Amador City,95601,"38.431407, -120.8421",38.431407,-120.8421,Male,No,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,857.2,Yes,1,68,5640,Competitor offered more data,0.7631640623349016,1,High,2,New High-Risk,-1.9782211572463195,-2.142774505153201,High Risk,4304.245311568845,4304.245311568845,0.9924747976714469,Critical,54
4298-OYIFC,1,United States,California,Loyalton,96118,"39.637471, -120.226338",39.637471,-120.226338,Male,No,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.45,1539.8,No,0,53,5640,Attitude of support person,0.7627170183671439,1,High,0,Established High-Value,-2.5433004052458603,1.0575690256199464,High Risk,4301.723983590691,4301.723983590691,0.9923328127218515,Critical,55
3452-GWUIN,1,United States,California,Raisin City,93652,"36.594542, -119.905245",36.594542,-119.905245,Female,Yes,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.95,1760.25,No,0,40,5316,Attitude of support person,0.8064804904752442,1,High,2,New High-Risk,-3.0674080594623483,-0.6529741237355841,High Risk,4287.250287366398,4287.250287366398,0.9921908277722561,Critical,56
8780-IXSTS,1,United States,California,Carlsbad,92008,"33.148116, -117.306043",33.148116,-117.306043,Female,No,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,521.3,Yes,1,71,5656,Competitor made better offer,0.7576917186271747,1,High,2,New High-Risk,-2.4284731604885232,-1.7213844577942443,High Risk,4285.5043605553,4285.5043605553,0.9920488428226608,Critical,57
9025-AOMKI,1,United States,California,Carpinteria,93013,"34.441398, -119.513163",34.441398,-119.513163,Female,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.55,536.4,Yes,1,71,5617,Moved,0.7606759967214067,1,High,2,New High-Risk,-2.3287663789529214,-1.1931923576066514,High Risk,4272.717073584142,4272.717073584142,0.9919068578730654,Critical,58
1761-AEZZR,1,United States,California,Guinda,95637,"38.830739, -122.196202",38.830739,-122.196202,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.55,79.55,Yes,1,72,5593,Don't know,0.763848880552827,1,High,2,New High-Risk,-1.9250901784559569,-3.2099211152763094,High Risk,4272.2067889319615,4272.2067889319615,0.9917648729234702,Critical,59
5834-ASPWA,1,United States,California,Jamul,91935,"32.695681, -116.798386",32.695681,-116.798386,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,75.45,Yes,1,74,5518,Attitude of support person,0.7732872435932244,1,High,2,New High-Risk,-2.239386063761612,-3.398302055658544,High Risk,4266.999010147412,4266.999010147412,0.9916228879738748,Critical,60
4210-QFJMF,1,United States,California,Lake City,96115,"41.729079, -120.225025",41.729079,-120.225025,Female,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.15,317.25,Yes,1,68,5762,Network reliability,0.7393595757906831,1,High,2,New High-Risk,-1.942010043539548,-3.1104530075072208,High Risk,4260.189875705916,4260.189875705916,0.9914809030242794,Critical,61
6653-CBBOM,1,United States,California,Compton,90221,"33.885811, -118.206459",33.885811,-118.206459,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,Yes,1,88,5963,Service dissatisfaction,0.7138391917208667,1,High,2,New High-Risk,-1.7868021718502525,-3.946415453075969,High Risk,4256.623100231528,4256.623100231528,0.9913389180746841,Critical,62
8473-VUVJN,1,United States,California,Temecula,92590,"33.475493, -117.219551",33.475493,-117.219551,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,73.65,Yes,1,86,5443,Attitude of service provider,0.7820320274250241,1,High,2,New High-Risk,-2.6545521430181407,-3.530908218067515,High Risk,4256.600325274406,4256.600325274406,0.9911969331250887,Critical,63
