customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,churn_probability,predicted_churn,risk_category,cluster,segment_name,pca_1,pca_2,strategic_group,value_at_risk,actionable_value_at_risk,priority_percentile,retention_priority,retention_rank
3489-HHPFY,1,United States,California,Amboy,92304,"34.559882, -115.637164",34.559882,-115.637164,Female,No,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.05,134.05,No,0,78,2115,Attitude of support person,0.8482459943539122,1,High,2,New High-Risk,-2.3550635820440733,-2.206858896664304,High Risk,1794.0402780585243,1794.0402780585243,0.7546500070992475,High,1729
9300-AGZNL,1,United States,California,Elk Creek,95939,"39.53222, -122.594879",39.53222,-122.594879,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,94.0,Yes,1,67,4176,Product dissatisfaction,0.8476415292416625,1,High,2,New High-Risk,-2.9460033350516985,-2.11195783408874,High Risk,3539.7510261131824,3539.7510261131824,0.96067016896209,Critical,278
1400-MMYXY,1,United States,California,Alhambra,91801,"34.090925, -118.128164",34.090925,-118.128164,Male,Yes,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,334.65,Yes,1,71,2715,Attitude of service provider,0.8466980326593437,1,High,2,New High-Risk,-3.00124824713871,0.1998262623598488,High Risk,2298.785158670118,2298.785158670118,0.8379951725117137,High,1142
6521-YYTYI,1,United States,California,Navarro,95463,"39.182916, -123.552571",39.182916,-123.552571,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3,93.3,Yes,1,65,2578,Moved,0.84638756774662,1,High,2,New High-Risk,-2.499528695965096,-2.2053552176525555,High Risk,2181.9871496507867,2181.9871496507867,0.8212409484594633,High,1260
6630-UJZMY,1,United States,California,Palo Alto,94306,"37.416159, -122.131337",37.416159,-122.131337,Female,Yes,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,No,0,37,5251,Attitude of support person,0.844449459464069,1,High,2,New High-Risk,-2.81088813198237,-1.8712281654677003,High Risk,4434.204111645827,4434.204111645827,0.9948885418145677,Critical,37
4424-TKOPW,1,United States,California,Crestline,92325,"34.248061, -117.29028",34.248061,-117.29028,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,196.75,Yes,1,70,4998,Lack of affordable download/upload speed,0.8442789182713886,1,High,2,New High-Risk,-2.956743958844571,-1.979043810840348,High Risk,4219.7060335204,4219.7060335204,0.9903450234275167,Critical,69
2720-WGKHP,1,United States,California,Sloughhouse,95683,"38.470423, -121.114897",38.470423,-121.114897,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,181.7,Yes,1,93,5569,Don't know,0.8435101728487133,1,High,2,New High-Risk,-2.9608945880619366,-1.907353422223344,High Risk,4697.508152594484,4697.508152594484,0.998722135453642,Critical,10
8149-RSOUN,1,United States,California,Dorris,96023,"41.949216, -122.050062",41.949216,-122.050062,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,93.85,Yes,1,78,3014,Competitor offered more data,0.8434620826130579,1,High,2,New High-Risk,-2.5068657120081954,-2.1469297170531827,High Risk,2542.1947169957566,2542.1947169957566,0.8685219366747124,High,927
1455-UGQVH,1,United States,California,Acampo,95220,"38.200231, -121.235034",38.200231,-121.235034,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1037.75,Yes,1,91,4501,Lack of self-service on Website,0.8430025055937872,1,High,2,New High-Risk,-2.5922934662286234,-0.0151251440611172,High Risk,3794.354277677636,3794.354277677636,0.9745846940224336,Critical,180
2982-VPSGI,1,United States,California,South Pasadena,91030,"34.110444, -118.156957",34.110444,-118.156957,Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,1078.9,Yes,1,67,2120,Competitor made better offer,0.8428458220713241,1,High,2,New High-Risk,-2.564054747006098,-1.158280832816016,High Risk,1786.8331427912071,1786.8331427912071,0.7533721425528894,High,1738
4910-GMJOT,1,United States,California,San Francisco,94129,"37.797526, -122.464531",37.797526,-122.464531,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,94.6,Yes,1,96,4033,Don't know,0.8418350440436323,1,High,2,New High-Risk,-2.5196766875594845,-2.0128759160965,High Risk,3395.120732627969,3395.120732627969,0.9495953428936533,Critical,356
0295-PPHDO,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,Yes,1,71,5962,Attitude of support person,0.8417580495589998,1,High,2,New High-Risk,-2.5393133783164297,-1.7617634901275572,High Risk,5018.561491470757,5018.561491470757,0.9998580150504046,Critical,2
7024-OHCCK,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.984756,-121.345074,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85,Yes,1,72,4193,Don't know,0.8417525088632336,1,High,2,New High-Risk,-2.949992667573691,-2.085876437248091,High Risk,3529.4682696635386,3529.4682696635386,0.960244214113304,Critical,281
2725-KXXWT,1,United States,California,Vallejo,94589,"38.161321, -122.271588",38.161321,-122.271588,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.75,90.75,Yes,1,86,5460,Lack of self-service on Website,0.8395212485402042,1,High,2,New High-Risk,-2.083216949425855,-1.603287474293695,High Risk,4583.786017029514,4583.786017029514,0.9975862558568792,Critical,18
5150-ITWWB,1,United States,California,Hamilton City,95951,"39.732767, -122.042298",39.732767,-122.042298,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,335.75,No,0,40,4496,Attitude of support person,0.8393774807838147,1,High,2,New High-Risk,-2.9699839177205027,-2.005400335053792,High Risk,3773.8411536040308,3773.8411536040308,0.9740167542240522,Critical,184
2012-NWRPA,1,United States,California,Modesto,95355,"37.672906, -120.946594",37.672906,-120.946594,Female,Yes,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,1131.2,Yes,1,71,3172,Competitor made better offer,0.8376391826382972,1,High,2,New High-Risk,-3.028195281139755,-0.268315946746525,High Risk,2656.9914873286784,2656.9914873286784,0.8845662359789862,High,814
4927-WWOOZ,1,United States,California,Pacific Grove,93950,"36.618337, -121.926417",36.618337,-121.926417,Male,No,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,No,0,32,4889,Attitude of support person,0.8375789698411091,1,High,2,New High-Risk,-2.414406298826944,-0.9754235394611434,High Risk,4094.9235835531827,4094.9235835531827,0.9862274598892518,Critical,98
7851-WZEKY,1,United States,California,Stockton,95219,"38.029729, -121.387999",38.029729,-121.387999,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,Yes,1,82,2414,Competitor made better offer,0.8367757976350758,1,High,2,New High-Risk,-2.5198867118793764,-2.1896129385446907,High Risk,2019.976775491073,2019.976775491073,0.7935538832883714,High,1455
9061-TIHDA,1,United States,California,Murrieta,92563,"33.581045, -117.14719",33.581045,-117.14719,Male,Yes,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,1233.65,Yes,1,97,2982,Attitude of service provider,0.8355400068012704,1,High,2,New High-Risk,-3.020274786703389,-1.1074852444131034,High Risk,2491.580300281388,2491.580300281388,0.8624165838421127,High,970
3727-RJMEO,1,United States,California,Rohnert Park,94928,"38.34719, -122.697822",38.34719,-122.697822,Male,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.85,460.25,Yes,1,78,4458,Competitor had better devices,0.8350851400750041,1,High,2,New High-Risk,-2.382271465541852,-1.811082406298789,High Risk,3722.8095544543685,3722.8095544543685,0.9707511003833593,Critical,207
0107-YHINA,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,1,93,4214,Attitude of support person,0.8350017762404496,1,High,2,New High-Risk,-2.541997884585028,-1.1284303025307652,High Risk,3518.6974850772544,3518.6974850772544,0.9588243646173505,Critical,291
4952-YSOGZ,1,United States,California,Lompoc,93436,"34.601055, -120.382917",34.601055,-120.382917,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,Yes,1,74,5640,Competitor offered more data,0.8345349547054223,1,High,2,New High-Risk,-2.4123565975972228,-1.679276576134888,High Risk,4706.7771445385815,4706.7771445385815,0.9990061053528326,Critical,8
1374-DMZUI,1,United States,California,San Ramon,94583,"37.766556, -121.976784",37.766556,-121.976784,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,Yes,1,99,5419,Competitor made better offer,0.8345159790637401,1,High,2,New High-Risk,-2.977398948428931,-1.8633566126018235,High Risk,4522.242090546408,4522.242090546408,0.9967343461593071,Critical,24
3158-MOERK,1,United States,California,Hayward,94545,"37.62984, -122.120843",37.62984,-122.120843,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,Yes,1,83,3391,Competitor offered more data,0.8341623730205446,1,High,2,New High-Risk,-2.5319631714574085,-2.063746673179574,High Risk,2828.644606912667,2828.644606912667,0.9057219934686923,Critical,665
0897-FEGMU,1,United States,California,Los Angeles,90048,"34.072945, -118.37267",34.072945,-118.37267,Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,Yes,1,84,5286,Network reliability,0.8325694972239793,1,High,2,New High-Risk,-2.60742858809673,0.1063311323642427,High Risk,4400.962362325955,4400.962362325955,0.9944625869657816,Critical,40
8775-LHDJH,1,United States,California,San Jose,95136,"37.270938, -121.851046",37.270938,-121.851046,Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.6,90.6,Yes,1,93,2905,Don't know,0.8324431466368418,1,High,2,New High-Risk,-2.8156712844562835,-1.4899039594244523,High Risk,2418.2473409800255,2418.2473409800255,0.8554593213119409,High,1019
5419-JPRRN,1,United States,California,Rough And Ready,95975,"39.225634, -121.156163",39.225634,-121.156163,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.45,101.45,Yes,1,77,4390,Extra data charges,0.8311338722278194,1,High,2,New High-Risk,-2.5569305645101563,-1.097956713870707,High Risk,3648.6776990801272,3648.6776990801272,0.9670594916938805,Critical,233
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,0.8309814815897744,1,High,2,New High-Risk,-2.973569141459177,-2.08539418453472,High Risk,3055.5189078056005,3055.5189078056005,0.925457901462445,Critical,526
0196-VULGZ,1,United States,California,Irvine,92620,"33.716136, -117.752574",33.716136,-117.752574,Female,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,1,77,5721,Deceased,0.829812788028317,1,High,2,New High-Risk,-2.837111909802845,-1.750142638935524,High Risk,4747.358960310002,4747.358960310002,0.9992900752520233,Critical,6
9057-SIHCH,1,United States,California,Twentynine Palms,92278,"34.457829, -116.139589",34.457829,-116.139589,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,Yes,1,72,3260,Price too high,0.8292566111206454,1,High,2,New High-Risk,-2.543229121468681,-2.047499448595478,High Risk,2703.376552253304,2703.376552253304,0.8912395286099674,High,767
4587-VVTOX,1,United States,California,Frazier Park,93222,"34.907911, -119.234281",34.907911,-119.234281,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,Yes,1,90,4163,Competitor offered more data,0.8288946324455135,1,High,0,Established High-Value,-2.5898997745390435,0.5681365594614496,High Risk,3450.688354870673,3450.688354870673,0.9537129064319182,Critical,327
6513-EECDB,1,United States,California,San Francisco,94114,"37.758085, -122.434801",37.758085,-122.434801,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,Yes,1,94,4369,Price too high,0.8276956361682472,1,High,2,New High-Risk,-2.645745305039532,-2.8431540989102086,High Risk,3616.202234419072,3616.202234419072,0.9650717023995457,Critical,247
8972-HJWNV,1,United States,California,Huron,93234,"36.217864, -120.080117",36.217864,-120.080117,Female,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,646.85,Yes,1,80,5245,Competitor made better offer,0.8275104436638555,1,High,2,New High-Risk,-2.845907095382151,-1.772084381747185,High Risk,4340.2922770169225,4340.2922770169225,0.9933267073690188,Critical,48
4102-OQUPX,1,United States,California,Sheep Ranch,95250,"38.244806, -120.417301",38.244806,-120.417301,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,Yes,1,91,5429,Competitor made better offer,0.8257031961283465,1,High,2,New High-Risk,-2.659637272906571,-2.7033811210098246,High Risk,4482.7426517807935,4482.7426517807935,0.9963083913105211,Critical,27
6023-YEBUP,1,United States,California,Stockton,95210,"38.033219, -121.297433",38.033219,-121.297433,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,Yes,1,81,5351,Competitor offered higher download speeds,0.8249869818010718,1,High,2,New High-Risk,-2.5735573973570185,-0.9172612347467408,High Risk,4414.505339617535,4414.505339617535,0.9947465568649723,Critical,38
0723-DRCLG,1,United States,California,Holtville,92250,"32.811001, -115.152865",32.811001,-115.152865,Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,Yes,1,94,2394,Competitor made better offer,0.8236577781737378,1,High,2,New High-Risk,-2.639978688753621,-3.092003331817008,High Risk,1971.8367209479281,1971.8367209479281,0.7870225756069856,High,1501
7668-XCFYV,1,United States,California,Glendora,91741,"34.14649, -117.849815",34.14649,-117.849815,Female,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,1614.7,No,0,23,3689,Attitude of support person,0.8230317612832346,1,High,2,New High-Risk,-3.027628697464532,-0.9202756807160488,High Risk,3036.1641673738527,3036.1641673738527,0.9231861422689195,Critical,542
7398-SKNQZ,1,United States,California,Downey,90241,"33.940884, -118.128628",33.940884,-118.128628,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,No,0,58,2330,Attitude of support person,0.8229792669153904,1,High,2,New High-Risk,-2.017834092051792,-1.3091688456248638,High Risk,1917.5416919128595,1917.5416919128595,0.7766576742865257,High,1574
7180-PISOG,1,United States,California,Piru,93040,"34.432843, -118.730106",34.432843,-118.730106,Male,No,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,Yes,1,75,5554,Attitude of service provider,0.8224023975661795,1,High,2,New High-Risk,-2.231032538319986,-2.5722926033443474,High Risk,4567.622916082561,4567.622916082561,0.9971603010080932,Critical,21
7181-BQYBV,1,United States,California,Garden Grove,92845,"33.782955, -118.026456",33.782955,-118.026456,Female,No,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,Yes,1,85,4811,Attitude of service provider,0.8223511808998298,1,High,2,New High-Risk,-2.426392645717755,0.4594210695415565,High Risk,3956.331531309081,3956.331531309081,0.9818259264517961,Critical,129
1925-TIBLE,1,United States,California,Los Angeles,90049,"34.091829, -118.491244",34.091829,-118.491244,Female,No,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.5,582.5,Yes,1,74,3887,Competitor offered higher download speeds,0.8211691611594989,1,High,2,New High-Risk,-2.4154481629701148,-1.8366938680362148,High Risk,3191.884529426972,3191.884529426972,0.9359647877325004,Critical,452
8161-QYMTT,1,United States,California,Santa Maria,93454,"34.943523, -120.256729",34.943523,-120.256729,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,No,0,22,5259,Attitude of support person,0.8207782989761842,1,High,2,New High-Risk,-2.56229785091989,-1.6898079996895068,High Risk,4316.4730743157525,4316.4730743157525,0.9929007525202329,Critical,51
9134-CEQMF,1,United States,California,Nice,95464,"39.12334, -122.838198",39.12334,-122.838198,Male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,676.7,Yes,1,89,3077,Network reliability,0.8205351258250618,1,High,2,New High-Risk,-2.525042398336786,-1.863572363792528,High Risk,2524.786582163715,2524.786582163715,0.8663921624307823,High,942
5383-MMTWC,1,United States,California,Oakley,94561,"37.999406, -121.686241",37.999406,-121.686241,Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.0,613.4,Yes,1,91,4819,Limited range of services,0.8203345058734083,1,High,2,New High-Risk,-2.837661691561499,-1.820296876053177,High Risk,3953.1919838039544,3953.1919838039544,0.9816839415022007,Critical,130
8382-SHQEH,1,United States,California,Rancho Cucamonga,91739,"34.133809, -117.523724",34.133809,-117.523724,Female,No,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.9,764.95,Yes,1,85,2656,Long distance charges,0.8199888998092456,1,High,2,New High-Risk,-2.408726964814755,-1.957145154345605,High Risk,2177.8905178933564,2177.8905178933564,0.8202470538122959,High,1267
1075-BGWOH,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,Male,Yes,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,1587.55,Yes,1,87,3392,Lack of self-service on Website,0.8195245405794255,1,High,2,New High-Risk,-3.052612026176763,-0.1105574259191522,High Risk,2779.827241645411,2779.827241645411,0.8999006105352833,High,706
0187-QSXOE,1,United States,California,Fresno,93725,"36.623632, -119.741322",36.623632,-119.741322,Male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,No,0,36,5711,Attitude of support person,0.8194195017431465,1,High,2,New High-Risk,-2.5344999627060503,-1.5385134901362882,High Risk,4679.704774455109,4679.704774455109,0.9984381655544512,Critical,12
4626-GYCZP,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737431,-124.108897,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,635.6,Yes,1,79,3506,Network reliability,0.8192331084114588,1,High,2,New High-Risk,-2.545071586272642,-1.9249065616314835,High Risk,2872.2312780905745,2872.2312780905745,0.9094136021581712,Critical,639
6100-QQHEB,1,United States,California,San Jose,95121,"37.304681, -121.809955",37.304681,-121.809955,Male,No,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,1515.1,Yes,1,99,5775,Moved,0.8186261771754622,1,High,2,New High-Risk,-2.605679824782239,-0.5526048064022676,High Risk,4727.566173188294,4727.566173188294,0.9991480903024279,Critical,7
7225-CBZPL,1,United States,California,Earlimart,93219,"35.858054, -119.305858",35.858054,-119.305858,Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,1563.9,No,0,49,4831,Attitude of support person,0.8178337347291901,1,High,2,New High-Risk,-3.05047377065307,-0.7710354805987966,High Risk,3950.954772476717,3950.954772476717,0.9815419565526055,Critical,131
3902-FOIGH,1,United States,California,Doyle,96109,"40.012675, -120.101857",40.012675,-120.101857,Male,Yes,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1218.55,Yes,1,68,3967,Product dissatisfaction,0.8176016759784753,1,High,2,New High-Risk,-3.049875499195929,-0.2489301215546432,High Risk,3243.4258486066115,3243.4258486066115,0.9400823512707653,Critical,423
4192-GORJT,1,United States,California,Fremont,94555,"37.555473, -122.080312",37.555473,-122.080312,Male,No,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,498.1,Yes,1,77,4580,Service dissatisfaction,0.8175464904338935,1,High,2,New High-Risk,-2.1124271560639367,-0.7494910099450351,High Risk,3744.362926187232,3744.362926187232,0.9717449950305268,Critical,200
6688-UZPWD,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",33.839989,-116.659215,Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.0,1145.35,Yes,1,88,5750,Competitor offered more data,0.8160497341926584,1,High,2,New High-Risk,-2.631768088765276,0.0729976954164679,High Risk,4692.2859716077855,4692.2859716077855,0.9985801505040466,Critical,11
